kata,frekuensi
dana,195304
saya,156740
sangat,109875
bisa,105497
tidak,81385
bagus,81252
dan,73414
ada,72243
nya,68114
aplikasi,63019
ini,60674
membantu,55215
saldo,47716
mantap,45450
transaksi,44730
uang,42185
tidak,41162
sudah,39126
akun,37373
tapi,35338
masuk,35041
mau,33276
baik,33182
yang,31972
cicil,30596
udah,29853
lagi,29285
untuk,28308
dana,27995
padahal,27681
hilang,27354
mudah,26532
aplikasi,26032
tolong,25321
tiba,25057
sekali,23999
aja,23066
kenapa,22176
banget,21532
sangat,20537
buat,20210
malah,18422
pakai,18368
lama,17891
dari,17867
premium,17795
sama,17032
cepat,16726
terus,16718
aman,16680
juga,16432
puas,16007
login,15973
dengan,15943
bagus,15624
lebih,15517
belum,15348
sekarang,15013
saya,14957
buka,14712
pakai,14376
aplikasi,14137
apa,13995
jadi,13695
muncul,13416
banyak,13315
hari,13080
fitur,12904
good,12817
transfer,12804
itu,12403
top,12247
pihak,12133
masih,12056
selalu,11913
kasih,11859
harus,11802
kirim,11646
kok,11634
baru,11083
sering,10807
makin,10789
jelas,10642
susah,10534
mantap,10404
kenapa,10366
nomor,10354
update,10354
gimana,10323
aku,10222
lain,10025
kecewa,9807
tolong,9719
kali,9680
tanpa,9196
dalam,9158
suka,9149
udah,9129
orang,9081
gagal,8919
sendiri,8897
ribet,8854
bintang,8820
pembayaran,8757
mohon,8643
dong,8612
lah,8592
semua,8556
upgrade,8534
atau,8443
perbaiki,8401
kalau,8313
saja,8272
verifikasi,8242
melakukan,8143
pas,8134
kan,8063
karena,8048
pin,7904
sih,7827
hilang,7806
otp,7802
pernah,7748
oke,7682
minta,7599
kembali,7497
keren,7284
saat,7261
jangan,7239
sampai,7222
proses,7153
dulu,7070
kode,6993
kalau,6885
memuaskan,6873
bank,6655
duit,6651
semoga,6560
menggunakan,6555
min,6372
eror,6341
isi,6341
sudah,6298
coba,6287
data,6246
jaringan,6097
wajah,6027
mana,6025
lancar,6013
ganti,5972
beli,5867
aktif,5856
masalah,5777
jawab,5767
pun,5757
respon,5745
keamanan,5719
gunakan,5699
kita,5699
bermanfaat,5608
terbaik,5599
bertransaksi,5596
masa,5578
aplikasinya,5554
cuma,5551
bayar,5547
karna,5532
keluar,5476
buruk,5444
terimakasih,5429
admin,5395
pengguna,5333
setiap,5297
chat,5270
gua,5261
gabisa,5247
bikin,5245
bantu,5237
berhasil,5162
dapat,5156
laporan,5149
setelah,5119
tetap,5061
kurang,5053
saya,5050
pulsa,5050
punya,4970
cukup,4947
suruh,4940
cara,4937
banget,4842
kendala,4840
lemot,4824
tahu,4767
hati,4649
memudahkan,4609
apapun,4600
nunggu,4545
jelek,4465
bantuan,4436
lewat,4434
digunakan,4428
tarik,4423
terus,4404
berguna,4388
hapus,4383
sukses,4382
saldo,4380
aneh,4327
nomer,4266
gampang,4241
gangguan,4170
jam,4170
parah,4159
tidak,4138
download,4137
langsung,4102
mulu,4060
email,4043
praktis,4032
nih,3983
biasa,3941
seperti,3919
solusi,3879
terima,3866
biar,3864
dibuka,3815
sampe,3814
ood,3779
nyaman,3772
error,3740
tidak,3739
katanya,3698
saldonya,3625
tidak,3622
tidak,3612
kena,3606
tapi,3589
mempermudah,3575
semakin,3571
lumayan,3554
digital,3533
yang,3477
sistem,3468
kalo,3451
hanya,3414
cek,3406
pelayanan,3397
ambil,3324
belum,3305
bukan,3297
terpotong,3276
kembalikan,3261
ingin,3254
bener,3212
kepotong,3184
aktifkan,3147
bagus,3135
rekening,3113
balik,3106
bulan,3053
benar,3046
tetep,3045
ribu,3040
salah,3038
gitu,3038
kalian,3030
mohon,3027
habis,3006
luar,3006
riwayat,2978
gini,2965
best,2963
kak,2961
pada,2956
paylater,2954
biaya,2936
dompet,2901
berkurang,2896
aik,2891
kenapa,2885
kehilangan,2872
akun,2871
internet,2862
instan,2861
tahun,2803
tanggung,2792
koneksi,2775
akan,2769
sedangkan,2741
segala,2730
bug,2717
daftar,2717
kartu,2690
ulang,2668
diana,2664
memang,2655
butuh,2636
agar,2634
mending,2627
tetapi,2619
oleh,2604
otomatis,2587
bagi,2582
diperbaiki,2581
bisnis,2573
padahal,2573
the,2559
pengiriman,2558
senang,2554
semoga,2553
atas,2546
google,2510
kaya,2509
emang,2508
usah,2496
beberapa,2486
disuruh,2483
cuman,2483
bagaimana,2480
satu,2476
kadang,2411
jawaban,2408
terpercaya,2403
baguss,2389
bukti,2388
ngirim,2388
tiap,2385
terlalu,2377
penipuan,2358
sudah,2342
ktp,2340
bertanggung,2336
soalnya,2331
simpel,2299
tambah,2286
kuota,2285
tunai,2270
aplikasi,2257
limit,2247
lambat,2247
waktu,2234
ketika,2231
diana,2231
tak,2228
pokoknya,2214
potong,2209
yah,2204
gratis,2198
bermasalah,2176
terputus,2174
segera,2165
tidak,2165
sedang,2161
lupa,2159
bantuannya,2151
uangnya,2148
paling,2147
nice,2139
deh,2137
hack,2136
kemana,2136
kami,2133
konfirmasi,2120
bobol,2115
juta,2093
qris,2085
terjadi,2081
begitu,2062
hal,2060
jika,2053
lapor,2052
paket,2051
membatu,2045
dengan,2042
alasan,2040
anda,2036
amanah,2035
teman,2028
nama,2026
gara,2023
mengecewakan,2023
customer,2013
gajelas,2009
kesini,2000
tersebut,1992
sayang,1984
masukin,1969
tingkatkan,1964
lagi,1963
layanan,1960
kenapa,1955
bos,1935
enak,1932
merasa,1931
sinyal,1889
lelet,1886
tolol,1882
transaksi,1873
maaf,1865
wifi,1856
padahal,1854
mantap,1854
jos,1850
bisa,1839
terima,1823
menu,1820
tunggu,1820
install,1818
akin,1814
hubungi,1805
potongan,1801
guna,1796
keluhan,1781
solusinya,1779
sesuai,1778
terus,1778
sandi,1776
tulisan,1769
pasti,1766
api,1766
kemarin,1764
tidak,1756
namun,1754
makasih,1747
saja,1746
melalui,1737
pembelian,1732
kerja,1731
memakai,1708
aktivitas,1705
alhamdulillah,1702
hampir,1688
tersedia,1684
keren,1674
service,1663
menunggu,1663
loading,1660
dananya,1660
berat,1657
topup,1655
ternyata,1651
bagaimana,1638
notif,1635
terimakasih,1635
cocok,1634
via,1634
adanya,1633
jadi,1627
payah,1627
apakah,1624
perlu,1613
sekarang,1613
job,1611
gimana,1600
selama,1591
merugikan,1588
sini,1585
awal,1576
cicilan,1574
selalu,1566
lalu,1564
pakai,1559
rugi,1556
refund,1552
caranya,1547
simple,1531
secara,1531
sulit,1528
mengirim,1522
penipu,1521
kayak,1521
angan,1519
percaya,1518
giliran,1518
besar,1508
wallet,1507
muka,1503
log,1499
aplikasi,1497
pindah,1497
kata,1495
gopay,1494
saya,1488
yaa,1482
sama,1475
pengembalian,1471
selesai,1469
habis,1460
token,1457
keuangan,1453
listrik,1453
menyimpan,1451
tidak,1449
bilang,1448
untuk,1442
muter,1435
mantul,1433
tranfer,1430
berkali,1425
berlangganan,1417
agak,1407
orang,1405
cicilnya,1405
sampah,1395
sedikit,1389
dapet,1386
gada,1383
dalam,1376
bot,1375
telah,1375
menerima,1372
balikin,1371
membuat,1369
sebesar,1366
kebuka,1364
ati,1363
ecewa,1362
kesedot,1353
mntap,1349
bahkan,1343
banget,1338
pending,1329
online,1328
gimana,1327
terkirim,1326
pke,1325
terdaftar,1324
simpan,1319
langganan,1315
tagihan,1315
tujuan,1307
murah,1306
amat,1305
isa,1304
foto,1298
menjadi,1296
apaan,1291
pemberitahuan,1287
minggu,1287
sekarang,1287
scan,1281
gimana,1281
saran,1278
dua,1278
jangan,1277
versi,1276
untuk,1269
game,1258
kasih,1258
bekukan,1257
dipakai,1255
terimakasih,1254
sering,1253
terbantu,1251
komplain,1243
cepet,1239
akses,1236
memakai,1232
belom,1230
terbaru,1220
maling,1219
sebelum,1211
mah,1211
mengalami,1211
tadi,1210
tanya,1209
pinjaman,1207
pertama,1206
keamanannya,1205
proteksi,1201
nominal,1199
urusan,1197
sebelumnya,1195
masukan,1195
tanggapan,1192
klik,1181
arah,1181
notifikasi,1176
kejadian,1174
nyimpen,1171
kepada,1168
bertambah,1167
rusak,1166
berapa,1164
selalu,1161
sekarang,1161
persetujuan,1159
korban,1158
main,1153
keterangan,1149
supaya,1146
tidak ada,1143
aru,1139
nanti,1138
tuh,1137
aplikasinya,1134
kejelasan,1129
alo,1125
ngisi,1123
persulit,1121
robot,1119
iya,1117
dari,1110
mulai,1109
percuma,1101
hangus,1101
hasil,1100
pemindahan,1096
prosesnya,1095
dibantu,1095
temen,1091
liat,1090
belum,1089
embantu,1089
kek,1085
akhir,1085
lakukan,1081
mantap,1068
pinjam,1063
tanggal,1062
kebutuhan,1060
kasih,1059
play,1059
kapan,1054
penting,1048
masak,1048
transaksinya,1047
dan lain lain,1046
dulu,1045
tetap,1042
menarik,1035
narik,1033
belanja,1032
menit,1026
mungkin,1025
banget,1025
kenapa,1023
cicil,1021
apalagi,1021
man,1018
sepengetahuan,1018
soal,1018
kecil,1013
sumpah,1007
banyak,1004
tanggal,998
fitur,992
ampun,990
tindak,987
suka,987
sebagai,986
tinggal,985
lengkap,985
disini,984
menghubungi,977
live,973
memberikan,970
banyak,969
semuanya,965
mencoba,963
belum,962
lihat,958
biasanya,955
kocak,954
dari,950
uninstall,949
status,948
sehari,943
entah,939
begini,934
hadiah,929
emas,927
setelah,922
udah,914
kedepannya,911
kenal,907
malam,906
seminggu,905
pokok,903
membuka,898
lainnya,898
tidak,898
sedot,897
jadi,895
mantep,893
kenapa,892
link,890
dipakai,888
nyesel,886
pertanggung,885
mati,885
mendapatkan,885
aplikasinya,884
mengajukan,876
sibuk,874
voucher,873
bertahun,872
bagus,872
walaupun,872
aaf,872
masa,868
kacau,866
sngat,866
retas,863
pribadi,862
loh,861
dikembalikan,860
pokonya,860
nggak,859
developer,858
sungguh,858
dikit,851
buat,848
kesalahan,844
lanjut,839
perbarui,835
penarikan,828
tiba,825
pdhal,823
tipu,818
verivikasi,815
males,815
beri,811
penerima,810
nambah,808
terbaik,806
jaya,805
install,803
didana,802
benerin,802
